"","items","prices","soldwhen"
"50","2016 Bowman Chrome Draft Auto TJ Zeuch Refractor 311/499 Blue Jays","$5.81","Feb-12 16:05"
"51","2016 Bowman Chrome Draft Matt Thaiss Auto","$7.50","Feb-11 21:50"
"52","2016 Bowman Chrome Draft BLUE WAVE REFRACTOR Alec Hansen RC AUTO 134/150","$15.00","Feb-11 21:45"
"53","2016 Bowman Chrome Draft BLUE REFRACTOR Bryse Wilson RC AUTO 065/150 Braves","$12.00","Feb-11 21:44"
"54","2016 Bowman Chrome Draft BRYAN REYNOLDS AUTO Giants Rookie Prospect #CDA-BRR","$9.99","Feb-11 21:44"
"55","2016 Bowman Chrome Draft Ian Anderson RC AUTO Braves","$10.27","Feb-11 21:43"
"56","VLADIMIR GUERRERO JR  2016 Bowman Chrome BLUE Refractor AUTO RC #/150","$399.99","Feb-11 21:35"
"57","2016 Bowman Chrome Draft Forrest Whitley RC AUTO Astros","$5.99","Feb-11 21:34"
"58","8   gleyber torres      2016 bowman chrome refractor chrome and base","$2.24","Feb-11 21:34"
"59","2016 Bowman Chrome Card # CPA-AB Alex Bregman Autographed Rookie Card Astros","$96.00","Feb-11 21:23"
"60","2016 Bowman Chrome - Jaime Schultz Refractor Auto #95/499 - Rays RC TAMPA BAY SP","$1.76","Feb-11 21:20"
"61","2016 Bowman Chrome Draft GREEN REFRACTOR Mickey Moniak RC AUTO 52/99 Phillies","$338.00","Feb-11 21:18"
"62","2016 Bowman Chrome Draft Joshua Lowe RC AUTO Tampa Bay Rays","$5.50","Feb-11 21:13"
"63","2016 Bowman Chrome Refractors That Never Were Al Kaline HOF Tigers Auto 19/99","$34.99","Feb-11 21:13"
"64","2016 Bowman Chrome Draft Zack Collins RC AUTO White Sox","$21.50","Feb-11 21:12"
"65","2016 Bowman Chrome Draft Delvin Perez RC AUTO Cardinals","$49.00","Feb-11 21:12"
"66","FORREST WHITLEY - 2016 BOWMAN CHROME DRAFT AUTO AUTOGRAPH RC - ASTROS","$6.95","Feb-11 21:11"
"67","2016 Bowman Chrome Draft Gavin Lux RC AUTO Dodgers","$13.50","Feb-11 21:11"
"68","2016 Bowman Chrome Jonah Arenado Refractor Auto 183 / 499","$12.50","Feb-11 21:09"
"69","2016 Bowman Chrome Raul Mondesi Refractor Auto 279 / 499","$4.99","Feb-11 21:09"
"70","2016 Bowman Chrome Draft REFRACTOR Delvin Perez RC AUTO 029/499 Cardinals","$84.00","Feb-11 21:07"
"71","2016 Bowman Chrome Draft REFRACTOR Will Benson RC AUTO 483/499 Indians","$26.00","Feb-11 21:07"
"72","2016 Bowman Chrome Draft REFRACTOR Zack Collins RC AUTO 177/499 White Sox","$29.00","Feb-11 21:06"
"73","2016 Bowman Chrome Draft REFRACTOR Bobby Dalbec RC AUTO 378/499 Red Sox","$22.24","Feb-11 21:05"
"74","2016 Bowman Chrome Trea Turner Rookie Card Refractor 323 / 499","$5.99","Feb-11 21:05"
"75","2016 Bowman Chrome Draft PURPLE REFRACTOR DJ Peters RC 045/250 Dodgers","$1.99","Feb-11 21:02"
"76","2016 Bowman Chrome Draft GREEN REFRACTOR Bobby Dalbec RC NON AUTO 35/99 Red Sox","$5.00","Feb-11 21:02"
"77","2016 Bowman Chrome Draft 1ST PURPLE REFRACTOR AUTO A.J. PUK 193/250","$28.00","Feb-11 21:00"
"78","Corey Seager HUGE 43 Rookie Card LOT 2010-2016 Bowman Chrome, Refractor, SP, USA","$40.78","Feb-11 21:00"
"79","2016 Bowman Chrome Draft 1ST REFRACTOR AUTO Cal Quantrill 361/499","$7.00","Feb-11 21:00"
"80","2016 Bowman Chrome Draft 1ST REFRACTOR AUTO Ian Anderson 167/499","$26.99","Feb-11 21:00"
"81","2016 Bowman Chrome Draft 1ST REFRACTOR AUTO Buddy Reed 227/499","$3.25","Feb-11 21:00"
"82","2016 Bowman Chrome Draft 1st Refractor Auto Nolan Jones 302/499","$15.50","Feb-11 21:00"
"83","2016 Bowman Chrome ORANGE Refractor Tyler Jay 11/25","$3.00","Feb-11 21:00"
"84","2016 Bowman Chrome Draft Draft Pick Auto Refractor Alex Kirilloff 310/499","$51.00","Feb-11 20:59"
"85","2016 Bowman Chrome ""Vending Box"" #BCP182 CODY BELLINGER BLACK&GOLD Ref. DODGERS","$6.50","Feb-11 20:59"
"86","2016 Bowman Chrome Willie Calhoun Autograph","$14.75","Feb-11 20:58"
"87","Trea Turner RC Gold 2016 Bowman Chrome 20/50!","$29.00","Feb-11 20:56"
"88","2016 BOWMAN CHROME RC Domingo Leyba Auto #CPA-DL","$2.99","Feb-11 20:52"
"89","Jose Berrios 2016 BOWMAN CHROME ROOKIE BLUE REFRACTOR AUTO /150 MINNESOTA TWINS","$14.99","Feb-11 20:50"
"90","2016 Bowman Chrome Draft Ian Anderson Ref Refractor SP Auto Autograph #d /499","$24.99","Feb-11 20:48"
"91","2016 Bowman Chrome Draft RED REFRACTOR Derek Fisher RC 3/5 Astros","$43.98","Feb-11 20:45"
"92","VICTOR ROBLES 2016 BOWMAN CHROME RC ROOKIE AUTOGRAPH NATIONALS AUTO SP MINT $120","$72.00","Feb-11 20:45"
"93","Jake Bauers 2016 Bowman Chrome Prospects Blue Refractor #007/150","$0.25","Feb-11 20:45"
"94","2016 Bowman Chrome Prospects #BCP34 Francis Martes - NM-MT","$0.99","Feb-11 20:43"
"95","2016 Bowman Chrome Draft ORANGE REFRACTOR Braxton Garrett RC AUTO 20/25 Marlins","$202.50","Feb-11 20:43"
"96","MICHAEL FULMER 2016 Bowman Chrome Refractor Rookie RC /499 Tigers ROY!!","$5.69","Feb-11 20:41"
"97","2016 Bowman Chrome Rookie Autographs #CPAVR Victor Robles","$79.99","Feb-11 20:35"
"98","2016 Bowman Chrome Mikey White Auto Refractor 082/499","$0.99","Feb-11 20:30"
"99","RAUL MONDESI 2016 Bowman Chrome CYAN Printing Plate rookie rc 1/1 Royals","$179.00","Feb-11 20:29"
"100","2016 BOWMAN CHROME BLACK & GOLD REFRACTOR PARALLEL DAVID PAULINO #BCP213 ASTROS","$1.21","Feb-11 20:28"
"101","2016 Bowman Chrome Baseball HOBBY HOT PACK #d Refractor/Auto Corey Seager? Gold?","$9.49","Feb-11 19:07"
"102","2016 Bowman Baseball #d CHROME Refractor/Auto Hot Pack Alex Bregman Green? Gold?","$8.50","Feb-11 19:05"
"103","2016 bowman chrome blue auto card of sal romano. 40/150 reds","$0.96","Feb-11 19:05"
"104","2016 Bowman Chrome Trea Turner Gold Refractor RC Rookie # 10/50","$57.08","Feb-11 19:05"
"105","2016 Bowman Chrome 1st ANDERSON MILLER Green #71/99 Royals","$1.95","Feb-11 19:04"
"106","2016 BOWMAN DRAFT NOLAN JONES *CHROME BLUE REFRACTOR AUTO #111/150*  INDIANS","$59.89","Feb-11 19:03"
"107","(53) 2016 Bowman Chrome Draft Mike Shawaryn Lot - Refractors, Blue - Red Sox!!!!","$13.00","Feb-11 19:02"
"108","2016 Bowman Draft Chrome Kyle Lewis RC Prospect AUTO Mariners!!","$47.00","Feb-11 19:00"
"109","JOE RIZZO 2016 BOWMAN CHROME DRAFT ORANGE REFRACTOR ROOKIE AUTO RC #12/25","$72.17","Feb-11 19:00"
"110","2016 Bowman Draft Chrome Bryse Wilson RC AUTO PURPLE /250 Braves!!","$9.00","Feb-11 19:00"
"111","2016 Bowman Draft Chrome Jesus Luzard RC GOLD AUTO /50 Nationals!!","$22.72","Feb-11 19:00"
